Name,Sex,Country,Date of Birth
"Derkach, Dariya",Women,Italy,27-Mar-93
"Diame, Fátima",Women,Spain,22-Sep-96
"Díaz, Andy",Men,Cuba,25-Dec-95
"Díaz, Jordan Alejandro",Men,Cuba,23-Feb-01
"Díaz, José Ignacio",Men,Spain,22-Nov-79
"Dibaba, Berhane",Women,Ethiopia,11-Sep-93
"Dibaba, Genzebe",Women,Ethiopia,08-Feb-91
"Dibaba, Tirunesh",Women,Ethiopia,01-Jun-85
"Dida, Dera",Women,Ethiopia,26-Oct-96
"Ding, Bangchao",Men,Pr Of China,11-Oct-96
"Diniz, Yohann",Men,France,01-Jan-78
"Direh, Djamal Abdi",Men,Djibouti,01-Jan-97
"Diriba, Buze",Women,Ethiopia,09-Feb-94
"Diro, Etenesh",Women,Ethiopia,10-May-91
"Distelberger, Dominik",Men,Austria,16-Mar-90
"Djouhan, Lolassonn",Men,France,18-May-91
"Dohmann, Carl",Men,Germany,18-May-90
"Domingos, Laila",Women,Brazil,30-Jul-82
"Domingos, Wagner",Men,Brazil,26-Mar-83
"Donato, Fabrizio",Men,Italy,14-Aug-76
"Dong, Bin",Men,Pr Of China,22-Nov-88
"Dongmo, Auriole",Women,Cameroon,03-Aug-90
"Dorozhon, Marharyta",Women,Israel,04-Sep-87
"Dos Santos, Jefferson",Men,Brazil,30-Aug-95
"Downing, Quincy",Men,United States,16-Jan-93
"Doyle, Eilidh",Women,Great Britain & N.I.,20-Feb-87
"Duan, Dandan",Women,Pr Of China,23-May-95
"Dubitskaya, Aliona",Women,Belarus,25-Jan-90
"Duncan, Kimberlyn",Women,United States,02-Aug-91
"Dunfee, Evan",Men,Canada,28-Sep-90
"Duplantis, Armand",Men,Sweden,10-Nov-99
"Duranona Garcia, Yordanys",Men,Commonwealth Of Dominica,16-Jun-88
"Dutch, Johnny",Men,United States,20-Jan-89
"Dutkiewicz, Pamela",Women,Germany,28-Sep-91
"Dwyer, Rasheed",Men,Jamaica,29-Jan-89
"Dzindzaletaité, Dovilé",Women,Lithuania,14-Jul-93
"Eaton, Jarret",Men,United States,24-Jun-89
"Ebihara, Yuki",Women,Japan,28-Oct-85
"Echevarría, Juan Miguel",Men,Cuba,11-Aug-98
"Eckhardt, Neele",Women,Germany,02-Jul-92
"Edris, Muktar",Men,Ethiopia,14-Jan-94
"Ekiru, Titus",Men,Kenya,02-Jan-92
"El Aziz, Mustapha",Men,Morocco,24-Dec-85
"Elabbassi, El Hassan",Men,Bahrain,13-Apr-84
"Elbakkali, Soufiane",Men,Morocco,07-Jan-96
"Ellis, Kendall",Women,United States,08-Mar-96
"Elseify, Ashraf Amgad",Men,Qatar,20-Feb-95
"Emmanuel, Crystal",Women,Canada,27-Nov-91
"Enekwechi, Chukwuebuka",Men,Nigeria,28-Jan-93
"Ennaoui, Sofia",Women,Poland,30-Aug-95
"Erupe, Wilson Loyanae",Men,Kenya,20-Nov-88
"Eshete, Shitaye",Women,Bahrain,21-May-90
"Eto, Takashi",Men,Japan,05-Feb-91
"Evans, Andrew",Men,United States,25-Jan-91
"Évora, Nelson",Men,Portugal,20-Apr-84
"Ewen, Maggie",Women,United States,23-Sep-94
"Ezzaydouny, Ibrahim",Men,Morocco,28-Apr-91
